,date,platform,country,country_x_language,media,campaign_id,campaign_name,ad_id,ad_name,short_ad_name,ad_type,ad_creative_type,spend,impressions,clicks,installs,sales,purchases (D0),purchases (D7),purchases_value (D0),purchases_value (D7)
3765,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_001478,EN_202107_V_S_TESTIMONIAL_VALUE-PROP_SUBTITLED,TESTIMONIAL_VALUE-PROP_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4250,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001617,EN_202102_C_S_RECIPE-DEMO_FEATURE-FOCUS_SUBTITLED,RECIPE-DEMO_FEATURE-FOCUS_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4378,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000310,EN_202112_C_M_PRODUCT-DEMO_HOWTO_DARK,PRODUCT-DEMO_HOWTO_DARK_EN,REWARD,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4581,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002074,EN_202109_C_M_FOODSWAP_PROBLEM-SOLUTION_CTAEND,FOODSWAP_PROBLEM-SOLUTION_CTAEND_EN,REWARD,VIDEO_PLAY,0.0,62.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
4603,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000249,EN_202106_S_M_RECIPE-DEMO_FEATURE-FOCUS_LIGHT,RECIPE-DEMO_FEATURE-FOCUS_LIGHT_EN,REWARD,VIDEO_PLAY,0.0,70.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
4722,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000157,EN_202111_C_M_PHOTO-SCAN_HOWTO_SUBTITLED,PHOTO-SCAN_HOWTO_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5017,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002072,EN_202108_V_M_CALORIE-GOAL_SOCIAL-PROOF_HOOK1,CALORIE-GOAL_SOCIAL-PROOF_HOOK1_EN,GRAPHIC,VIDEO_PLAY,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5191,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_001626,EN_202102_C_XL_WATER-TRACK_RESULTS_SUBTITLED,WATER-TRACK_RESULTS_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5526,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000315,EN_202111_S_XL_EDUCATIONAL-TIPS_VALUE-PROP_LIGHT,EDUCATIONAL-TIPS_VALUE-PROP_LIGHT_EN,GRAPHIC,VIDEO_PLAY,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5710,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001140,EN_202111_C_S_BARCODE-SCAN_SOCIAL-PROOF_SUBTITLED,BARCODE-SCAN_SOCIAL-PROOF_SUBTITLED_EN,REWARD,VIDEO_PLAY,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5974,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000397,EN_202112_S_L_PHOTO-SCAN_VALUE-PROP_SUBTITLED,PHOTO-SCAN_VALUE-PROP_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5999,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001593,EN_202102_C_XL_WATER-TRACK_RESULTS_SUBTITLED,WATER-TRACK_RESULTS_SUBTITLED_EN,REWARD,PLAY,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
6375,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002489,EN_202104_V_L_MEAL-TRACKER_RESULTS_SUBTITLED,MEAL-TRACKER_RESULTS_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
6669,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001468,EN_202107_V_S_TESTIMONIAL_VALUE-PROP_SUBTITLED,TESTIMONIAL_VALUE-PROP_SUBTITLED_EN,REWARD,VIDEO_PLAY,4.5643201554,289.0,213.0,2.0,0.0,0.0,0.0,0.0,0.0
6708,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000150,EN_202108_C_S_WATER-TRACK_FEATURE-FOCUS_DARK,WATER-TRACK_FEATURE-FOCUS_DARK_EN,REWARD,VIDEO_PLAY,0.0,260.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
7131,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002477,EN_202104_V_L_MEAL-TRACKER_RESULTS_SUBTITLED,MEAL-TRACKER_RESULTS_SUBTITLED_EN,REWARD,VIDEO_PLAY,18.46993279915,290.0,192.0,2.0,1.0,1.0,1.0,37.5850995,37.5850995
7301,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000230,EN_202112_C_XL_RECIPE-DEMO_HOWTO_SUBTITLED,RECIPE-DEMO_HOWTO_SUBTITLED_EN,GRAPHIC,GRAPHIC,0.0,5892.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
7389,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002069,EN_202109_S_S_UGC-KITCHEN_RESULTS_DARK,UGC-KITCHEN_RESULTS_DARK_EN,REWARD,VIDEO_PLAY,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7599,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002320,EN_202107_V_S_BEFORE-AFTER_VALUE-PROP_SUBTITLED,BEFORE-AFTER_VALUE-PROP_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7641,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001985,EN_202111_S_L_UGC-LIVINGROOM_VALUE-PROP_DARK,UGC-LIVINGROOM_VALUE-PROP_DARK_EN,GRAPHIC,VIDEO_PLAY,0.0,29.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
7895,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_001988,EN_202111_S_L_UGC-LIVINGROOM_VALUE-PROP_DARK,UGC-LIVINGROOM_VALUE-PROP_DARK_EN,REWARD,VIDEO_PLAY,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7903,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002480,EN_202107_C_M_WATER-TRACK_ONBOARDING_DARK,WATER-TRACK_ONBOARDING_DARK_EN,GRAPHIC,PLAY,0.0,27.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
8087,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001606,EN_202111_V_L_BEFORE-AFTER_SOCIAL-PROOF_LIGHT,BEFORE-AFTER_SOCIAL-PROOF_LIGHT_EN,REWARD,VIDEO_PLAY,0.0,137.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
8278,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002319,EN_202104_S_XL_TESTIMONIAL_VALUE-PROP_HOOK1,TESTIMONIAL_VALUE-PROP_HOOK1_EN,REWARD,VIDEO_PLAY,0.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8849,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001604,EN_202101_S_XL_MEAL-TRACKER_CONVENIENCE_CONCAT,MEAL-TRACKER_CONVENIENCE_CONCAT_EN,REWARD,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8971,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002083,EN_202101_C_L_UGC-OUTDOOR_SOCIAL-PROOF_DARK,UGC-OUTDOOR_SOCIAL-PROOF_DARK_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9080,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000220,EN_202108_C_S_WATER-TRACK_FEATURE-FOCUS_DARK,WATER-TRACK_FEATURE-FOCUS_DARK_EN,REWARD,VIDEO_PLAY,0.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
9135,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000386,EN_202105_S_M_EDUCATIONAL-TIPS_HOWTO_LIGHT,EDUCATIONAL-TIPS_HOWTO_LIGHT_EN,REWARD,PLAY,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
9150,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001475,EN_202109_C_S_CHALLENGE-30D_ONBOARDING_CONCAT,CHALLENGE-30D_ONBOARDING_CONCAT_EN,REWARD,VIDEO_PLAY,0.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
10020,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002098,EN_202109_C_M_FOODSWAP_PROBLEM-SOLUTION_CTAEND,FOODSWAP_PROBLEM-SOLUTION_CTAEND_EN,REWARD,VIDEO_PLAY,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
10228,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000935,EN_202105_V_L_WATER-TRACK_PROBLEM-SOLUTION_HOOK2,WATER-TRACK_PROBLEM-SOLUTION_HOOK2_EN,REWARD,VIDEO_PLAY,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
10323,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002086,EN_202110_V_M_PHOTO-SCAN_HOWTO_CONCAT,PHOTO-SCAN_HOWTO_CONCAT_EN,GRAPHIC,VIDEO_PLAY,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
11058,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000181,EN_202106_S_M_RECIPE-DEMO_FEATURE-FOCUS_LIGHT,RECIPE-DEMO_FEATURE-FOCUS_LIGHT_EN,GRAPHIC,VIDEO_PLAY,0.0,130.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
11702,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000941,EN_202108_S_L_QUIZ-INTERACTIVE_HOWTO_SUBTITLED,QUIZ-INTERACTIVE_HOWTO_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
12177,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001605,EN_202112_C_S_PHOTO-SCAN_PROBLEM-SOLUTION_CONCAT,PHOTO-SCAN_PROBLEM-SOLUTION_CONCAT_EN,REWARD,VIDEO_PLAY,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
12372,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001603,EN_202108_V_L_PRODUCT-DEMO_SOCIAL-PROOF_CONCAT,PRODUCT-DEMO_SOCIAL-PROOF_CONCAT_EN,REWARD,VIDEO_PLAY,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12545,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000387,EN_202105_S_M_EDUCATIONAL-TIPS_HOWTO_LIGHT,EDUCATIONAL-TIPS_HOWTO_LIGHT_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12820,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001151,EN_202103_C_M_FOODSWAP_PROBLEM-SOLUTION_SUBTITLED,FOODSWAP_PROBLEM-SOLUTION_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
12918,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000392,EN_202103_C_M_PORTION-GUIDE_MOTIVATION_LOOPED,PORTION-GUIDE_MOTIVATION_LOOPED_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13865,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002096,EN_202108_V_M_CALORIE-GOAL_SOCIAL-PROOF_HOOK1,CALORIE-GOAL_SOCIAL-PROOF_HOOK1_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14204,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000316,EN_202104_C_M_UGC-OUTDOOR_CONVENIENCE_HOOK2,UGC-OUTDOOR_CONVENIENCE_HOOK2_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14562,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000836,EN_202103_V_XL_BEFORE-AFTER_SOCIAL-PROOF_SUBTITLED,BEFORE-AFTER_SOCIAL-PROOF_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14697,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002087,EN_202111_V_XL_UGC-KITCHEN_PROBLEM-SOLUTION_HOOK1,UGC-KITCHEN_PROBLEM-SOLUTION_HOOK1_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14793,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000159,EN_202111_C_M_PHOTO-SCAN_HOWTO_SUBTITLED,PHOTO-SCAN_HOWTO_SUBTITLED_EN,GRAPHIC,PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14945,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002331,EN_202104_S_XL_TESTIMONIAL_VALUE-PROP_HOOK1,TESTIMONIAL_VALUE-PROP_HOOK1_EN,GRAPHIC,VIDEO_PLAY,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14991,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002090,EN_202106_C_M_STREAK-REWARD_CONVENIENCE_HOOK1,STREAK-REWARD_CONVENIENCE_HOOK1_EN,GRAPHIC,VIDEO_PLAY,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
16002,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002066,EN_202106_C_M_STREAK-REWARD_CONVENIENCE_HOOK1,STREAK-REWARD_CONVENIENCE_HOOK1_EN,REWARD,VIDEO_PLAY,5.75256621065,94.0,83.0,1.0,0.0,0.0,0.0,0.0,0.0
16220,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002081,EN_202112_S_XL_UGC-OUTDOOR_MOTIVATION_HOOK1,UGC-OUTDOOR_MOTIVATION_HOOK1_EN,REWARD,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14498,2022-06-02,Android,AU,AU-fi,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000235,FI_202105_V_M_HEALTHY-HABITS_ONBOARDING_SUBTITLED,HEALTHY-HABITS_ONBOARDING_SUBTITLED_FI,GRAPHIC,GRAPHIC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748,2022-06-02,Android,AU,AU-fr,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002491,FR_202105_V_L_CHALLENGE-30D_VALUE-PROP_LIGHT,CHALLENGE-30D_VALUE-PROP_LIGHT_FR,GRAPHIC,VIDEO_PLAY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2153,2022-06-02,Android,AU,AU-fr,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002078,FR_202107_V_S_RECIPE-DEMO_VALUE-PROP_LOOPED,RECIPE-DEMO_VALUE-PROP_LOOPED_FR,GRAPHIC,VIDEO_PLAY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3771,2022-06-02,Android,AU,AU-fr,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000179,FR_202106_V_M_CHALLENGE-30D_CONVENIENCE_CTAEND,CHALLENGE-30D_CONVENIENCE_CTAEND_FR,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4146,2022-06-02,Android,AU,AU-fr,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000942,FR_202112_C_M_HEALTHY-HABITS_CONVENIENCE_HOOK2,HEALTHY-HABITS_CONVENIENCE_HOOK2_FR,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4590,2022-06-02,Android,AU,AU-fr,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002476,FR_202110_C_XL_MEAL-TRACKER_RESULTS_HOOK1,MEAL-TRACKER_RESULTS_HOOK1_FR,REWARD,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4843,2022-06-02,Android,AU,AU-fr,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001612,FR_202106_S_S_UGC-LIVINGROOM_FEATURE-FOCUS_HOOK1,UGC-LIVINGROOM_FEATURE-FOCUS_HOOK1_FR,GRAPHIC,VIDEO_PLAY,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5400,2022-06-02,Android,AU,AU-fr,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000283,FR_202101_V_XL_BEFORE-AFTER_SOCIAL-PROOF_CONCAT,BEFORE-AFTER_SOCIAL-PROOF_CONCAT_FR,REWARD,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5762,2022-06-02,Android,AU,AU-fr,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001467,FR_202112_C_L_BARCODE-SCAN_RESULTS_LOOPED,BARCODE-SCAN_RESULTS_LOOPED_FR,GRAPHIC,VIDEO_PLAY,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7544,2022-06-02,Android,AU,AU-fr,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000358,FR_202101_S_S_BEFORE-AFTER_SOCIAL-PROOF_LOOPED,BEFORE-AFTER_SOCIAL-PROOF_LOOPED_FR,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9034,2022-06-02,Android,AU,AU-fr,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002472,FR_202109_C_L_STREAK-REWARD_GAMIFICATION_CONCAT,STREAK-REWARD_GAMIFICATION_CONCAT_FR,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14441,2022-06-02,Android,AU,AU-fr,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002223,FR_202108_C_L_CALORIE-GOAL_MOTIVATION_CONCAT,CALORIE-GOAL_MOTIVATION_CONCAT_FR,GRAPHIC,VIDEO_PLAY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14627,2022-06-02,Android,AU,AU-fr,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002479,FR_202105_V_L_CHALLENGE-30D_VALUE-PROP_LIGHT,CHALLENGE-30D_VALUE-PROP_LIGHT_FR,GRAPHIC,VIDEO_PLAY,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
16070,2022-06-02,Android,AU,AU-fr,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001473,FR_202110_C_XL_WATER-TRACK_SOCIAL-PROOF_HOOK1,WATER-TRACK_SOCIAL-PROOF_HOOK1_FR,GRAPHIC,VIDEO_PLAY,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5306,2022-06-02,Android,AU,AU-nl,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002478,NL_202103_S_XL_CHALLENGE-30D_SOCIAL-PROOF_HOOK2,CHALLENGE-30D_SOCIAL-PROOF_HOOK2_NL,REWARD,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14949,2022-06-02,Android,AU,AU-pl,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000268,PL_202104_C_L_CHALLENGE-30D_ONBOARDING_DARK,CHALLENGE-30D_ONBOARDING_DARK_PL,GRAPHIC,GRAPHIC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
992,2022-06-02,Android,AU,AU-pt,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000201,PT_202107_S_S_EDUCATIONAL-TIPS_SOCIAL-PROOF_CONCAT,EDUCATIONAL-TIPS_SOCIAL-PROOF_CONCAT_PT,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
