,date,platform,country,country_x_language,media,campaign_id,campaign_name,ad_id,ad_name,short_ad_name,ad_type,ad_creative_type,spend,impressions,clicks,installs,sales,purchases (D0),purchases (D7),purchases_value (D0),purchases_value (D7)
1633,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002096,EN_202108_V_M_CALORIE-GOAL_SOCIAL-PROOF_HOOK1,CALORIE-GOAL_SOCIAL-PROOF_HOOK1_EN,REWARD,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1809,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002090,EN_202106_C_M_STREAK-REWARD_CONVENIENCE_HOOK1,STREAK-REWARD_CONVENIENCE_HOOK1_EN,GRAPHIC,VIDEO_PLAY,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
1814,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000947,EN_202104_V_L_CALORIE-GOAL_CONVENIENCE_LIGHT,CALORIE-GOAL_CONVENIENCE_LIGHT_EN,REWARD,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2134,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002108,EN_202110_V_M_PHOTO-SCAN_HOWTO_CONCAT,PHOTO-SCAN_HOWTO_CONCAT_EN,GRAPHIC,VIDEO_PLAY,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2609,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002066,EN_202106_C_M_STREAK-REWARD_CONVENIENCE_HOOK1,STREAK-REWARD_CONVENIENCE_HOOK1_EN,GRAPHIC,VIDEO_PLAY,0.0,135.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0
2959,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000941,EN_202108_S_L_QUIZ-INTERACTIVE_HOWTO_SUBTITLED,QUIZ-INTERACTIVE_HOWTO_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3046,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000181,EN_202106_S_M_RECIPE-DEMO_FEATURE-FOCUS_LIGHT,RECIPE-DEMO_FEATURE-FOCUS_LIGHT_EN,REWARD,VIDEO_PLAY,1.2762358762100001,173.0,123.0,1.0,0.0,0.0,0.0,0.0,0.0
4132,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002081,EN_202112_S_XL_UGC-OUTDOOR_MOTIVATION_HOOK1,UGC-OUTDOOR_MOTIVATION_HOOK1_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4757,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000961,EN_202108_S_L_QUIZ-INTERACTIVE_HOWTO_SUBTITLED,QUIZ-INTERACTIVE_HOWTO_SUBTITLED_EN,GRAPHIC,PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4964,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000935,EN_202105_V_L_WATER-TRACK_PROBLEM-SOLUTION_HOOK2,WATER-TRACK_PROBLEM-SOLUTION_HOOK2_EN,GRAPHIC,VIDEO_PLAY,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5265,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002086,EN_202110_V_M_PHOTO-SCAN_HOWTO_CONCAT,PHOTO-SCAN_HOWTO_CONCAT_EN,GRAPHIC,VIDEO_PLAY,0.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
5312,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001155,EN_202112_C_XL_UGC-KITCHEN_FEATURE-FOCUS_CONCAT,UGC-KITCHEN_FEATURE-FOCUS_CONCAT_EN,REWARD,VIDEO_PLAY,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5826,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002494,EN_202109_S_M_QUIZ-INTERACTIVE_CONVENIENCE_LOOPED,QUIZ-INTERACTIVE_CONVENIENCE_LOOPED_EN,GRAPHIC,VIDEO_PLAY,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6285,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002228,EN_202107_S_S_TESTIMONIAL_VALUE-PROP_LOOPED,TESTIMONIAL_VALUE-PROP_LOOPED_EN,GRAPHIC,VIDEO_PLAY,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6936,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000392,EN_202103_C_M_PORTION-GUIDE_MOTIVATION_LOOPED,PORTION-GUIDE_MOTIVATION_LOOPED_EN,GRAPHIC,VIDEO_PLAY,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6938,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002492,EN_202107_C_M_WATER-TRACK_ONBOARDING_DARK,WATER-TRACK_ONBOARDING_DARK_EN,GRAPHIC,VIDEO_PLAY,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7124,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002087,EN_202111_V_XL_UGC-KITCHEN_PROBLEM-SOLUTION_HOOK1,UGC-KITCHEN_PROBLEM-SOLUTION_HOOK1_EN,REWARD,VIDEO_PLAY,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
7384,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000836,EN_202103_V_XL_BEFORE-AFTER_SOCIAL-PROOF_SUBTITLED,BEFORE-AFTER_SOCIAL-PROOF_SUBTITLED_EN,REWARD,VIDEO_PLAY,0.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
7582,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001605,EN_202112_C_S_PHOTO-SCAN_PROBLEM-SOLUTION_CONCAT,PHOTO-SCAN_PROBLEM-SOLUTION_CONCAT_EN,REWARD,VIDEO_PLAY,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
7630,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001151,EN_202103_C_M_FOODSWAP_PROBLEM-SOLUTION_SUBTITLED,FOODSWAP_PROBLEM-SOLUTION_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
7665,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_001637,EN_202112_C_S_PHOTO-SCAN_PROBLEM-SOLUTION_CONCAT,PHOTO-SCAN_PROBLEM-SOLUTION_CONCAT_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7676,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000387,EN_202105_S_M_EDUCATIONAL-TIPS_HOWTO_LIGHT,EDUCATIONAL-TIPS_HOWTO_LIGHT_EN,REWARD,VIDEO_PLAY,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
7947,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002105,EN_202101_C_L_UGC-OUTDOOR_SOCIAL-PROOF_DARK,UGC-OUTDOOR_SOCIAL-PROOF_DARK_EN,REWARD,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8303,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_001638,EN_202111_V_L_BEFORE-AFTER_SOCIAL-PROOF_LIGHT,BEFORE-AFTER_SOCIAL-PROOF_LIGHT_EN,REWARD,VIDEO_PLAY,3.144486261325,21.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
8429,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002482,EN_202109_S_M_QUIZ-INTERACTIVE_CONVENIENCE_LOOPED,QUIZ-INTERACTIVE_CONVENIENCE_LOOPED_EN,REWARD,VIDEO_PLAY,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8729,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000386,EN_202105_S_M_EDUCATIONAL-TIPS_HOWTO_LIGHT,EDUCATIONAL-TIPS_HOWTO_LIGHT_EN,REWARD,VIDEO_PLAY,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8880,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001160,EN_202101_C_XL_TESTIMONIAL_CONVENIENCE_DARK,TESTIMONIAL_CONVENIENCE_DARK_EN,GRAPHIC,VIDEO_PLAY,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
9182,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000220,EN_202108_C_S_WATER-TRACK_FEATURE-FOCUS_DARK,WATER-TRACK_FEATURE-FOCUS_DARK_EN,GRAPHIC,VIDEO_PLAY,0.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
9454,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002098,EN_202109_C_M_FOODSWAP_PROBLEM-SOLUTION_CTAEND,FOODSWAP_PROBLEM-SOLUTION_CTAEND_EN,REWARD,VIDEO_PLAY,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
9584,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001149,EN_202109_S_S_UGC-LIVINGROOM_PROBLEM-SOLUTION_LOOPED,UGC-LIVINGROOM_PROBLEM-SOLUTION_LOOPED_EN,GRAPHIC,VIDEO_PLAY,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
9628,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000855,EN_202103_V_XL_BEFORE-AFTER_SOCIAL-PROOF_SUBTITLED,BEFORE-AFTER_SOCIAL-PROOF_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9814,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002331,EN_202104_S_XL_TESTIMONIAL_VALUE-PROP_HOOK1,TESTIMONIAL_VALUE-PROP_HOOK1_EN,GRAPHIC,VIDEO_PLAY,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9828,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000159,EN_202111_C_M_PHOTO-SCAN_HOWTO_SUBTITLED,PHOTO-SCAN_HOWTO_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
10401,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_001485,EN_202109_C_S_CHALLENGE-30D_ONBOARDING_CONCAT,CHALLENGE-30D_ONBOARDING_CONCAT_EN,REWARD,VIDEO_PLAY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10980,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_001170,EN_202103_C_M_FOODSWAP_PROBLEM-SOLUTION_SUBTITLED,FOODSWAP_PROBLEM-SOLUTION_SUBTITLED_EN,REWARD,VIDEO_PLAY,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
11487,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002072,EN_202108_V_M_CALORIE-GOAL_SOCIAL-PROOF_HOOK1,CALORIE-GOAL_SOCIAL-PROOF_HOOK1_EN,GRAPHIC,VIDEO_PLAY,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
11673,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002069,EN_202109_S_S_UGC-KITCHEN_RESULTS_DARK,UGC-KITCHEN_RESULTS_DARK_EN,GRAPHIC,VIDEO_PLAY,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
11716,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001985,EN_202111_S_L_UGC-LIVINGROOM_VALUE-PROP_DARK,UGC-LIVINGROOM_VALUE-PROP_DARK_EN,GRAPHIC,VIDEO_PLAY,0.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
12253,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000315,EN_202111_S_XL_EDUCATIONAL-TIPS_VALUE-PROP_LIGHT,EDUCATIONAL-TIPS_VALUE-PROP_LIGHT_EN,GRAPHIC,VIDEO_PLAY,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
12266,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_001626,EN_202102_C_XL_WATER-TRACK_RESULTS_SUBTITLED,WATER-TRACK_RESULTS_SUBTITLED_EN,REWARD,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12476,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001475,EN_202109_C_S_CHALLENGE-30D_ONBOARDING_CONCAT,CHALLENGE-30D_ONBOARDING_CONCAT_EN,GRAPHIC,VIDEO_PLAY,0.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
12961,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000230,EN_202112_C_XL_RECIPE-DEMO_HOWTO_SUBTITLED,RECIPE-DEMO_HOWTO_SUBTITLED_EN,GRAPHIC,GRAPHIC,0.0,3797.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
13025,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002320,EN_202107_V_S_BEFORE-AFTER_VALUE-PROP_SUBTITLED,BEFORE-AFTER_VALUE-PROP_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
13053,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000956,EN_202105_V_L_WATER-TRACK_PROBLEM-SOLUTION_HOOK2,WATER-TRACK_PROBLEM-SOLUTION_HOOK2_EN,REWARD,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13291,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001592,EN_202112_C_S_GROCERY-LIST_FEATURE-FOCUS_CTAEND,GROCERY-LIST_FEATURE-FOCUS_CTAEND_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13447,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000157,EN_202111_C_M_PHOTO-SCAN_HOWTO_SUBTITLED,PHOTO-SCAN_HOWTO_SUBTITLED_EN,REWARD,VIDEO_PLAY,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
13544,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002319,EN_202104_S_XL_TESTIMONIAL_VALUE-PROP_HOOK1,TESTIMONIAL_VALUE-PROP_HOOK1_EN,REWARD,VIDEO_PLAY,0.0,56.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
13577,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000316,EN_202104_C_M_UGC-OUTDOOR_CONVENIENCE_HOOK2,UGC-OUTDOOR_CONVENIENCE_HOOK2_EN,REWARD,VIDEO_PLAY,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
14025,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002332,EN_202107_V_S_BEFORE-AFTER_VALUE-PROP_SUBTITLED,BEFORE-AFTER_VALUE-PROP_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14034,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002480,EN_202107_C_M_WATER-TRACK_ONBOARDING_DARK,WATER-TRACK_ONBOARDING_DARK_EN,REWARD,VIDEO_PLAY,0.0,49.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
14413,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_001988,EN_202111_S_L_UGC-LIVINGROOM_VALUE-PROP_DARK,UGC-LIVINGROOM_VALUE-PROP_DARK_EN,REWARD,VIDEO_PLAY,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
14476,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001606,EN_202111_V_L_BEFORE-AFTER_SOCIAL-PROOF_LIGHT,BEFORE-AFTER_SOCIAL-PROOF_LIGHT_EN,REWARD,VIDEO_PLAY,3.6123969104349998,274.0,189.0,1.0,0.0,0.0,0.0,0.0,0.0
15021,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_001478,EN_202107_V_S_TESTIMONIAL_VALUE-PROP_SUBTITLED,TESTIMONIAL_VALUE-PROP_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15295,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000249,EN_202106_S_M_RECIPE-DEMO_FEATURE-FOCUS_LIGHT,RECIPE-DEMO_FEATURE-FOCUS_LIGHT_EN,REWARD,VIDEO_PLAY,0.0,73.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
15430,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001593,EN_202102_C_XL_WATER-TRACK_RESULTS_SUBTITLED,WATER-TRACK_RESULTS_SUBTITLED_EN,REWARD,VIDEO_PLAY,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
15439,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000950,EN_202103_C_M_MEAL-TRACKER_FEATURE-FOCUS_HOOK1,MEAL-TRACKER_FEATURE-FOCUS_HOOK1_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15653,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002074,EN_202109_C_M_FOODSWAP_PROBLEM-SOLUTION_CTAEND,FOODSWAP_PROBLEM-SOLUTION_CTAEND_EN,GRAPHIC,VIDEO_PLAY,6.108059976534999,79.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0
15972,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000310,EN_202112_C_M_PRODUCT-DEMO_HOWTO_DARK,PRODUCT-DEMO_HOWTO_DARK_EN,REWARD,VIDEO_PLAY,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
16161,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_001649,EN_202102_C_S_RECIPE-DEMO_FEATURE-FOCUS_SUBTITLED,RECIPE-DEMO_FEATURE-FOCUS_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2794,2022-06-03,Android,AU,AU-fr,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001473,FR_202110_C_XL_WATER-TRACK_SOCIAL-PROOF_HOOK1,WATER-TRACK_SOCIAL-PROOF_HOOK1_FR,REWARD,VIDEO_PLAY,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
